
> hospital-dashboard@0.1.0 dev
> next dev --webpack

▲ Next.js 16.1.6 (webpack)
- Local:         http://localhost:3000
- Network:       http://172.22.64.1:3000
- Environments: .env

✓ Starting...
✓ Ready in 19.7s
○ Compiling /login ...
 GET /purchases 200 in 175ms (compile: 61ms, proxy.ts: 59ms, render: 55ms)
 GET /purchases 200 in 560ms (compile: 43ms, proxy.ts: 421ms, render: 96ms)
 PATCH /api/products/3403 200 in 734ms (compile: 86ms, proxy.ts: 61ms, render: 588ms)
 GET /purchases 200 in 560ms (compile: 53ms, proxy.ts: 412ms, render: 95ms)
 GET /purchases 200 in 604ms (compile: 148ms, proxy.ts: 361ms, render: 95ms)
 PATCH /api/products/3377 200 in 769ms (compile: 69ms, proxy.ts: 79ms, render: 621ms)
 GET /purchases 200 in 470ms (compile: 54ms, proxy.ts: 339ms, render: 78ms)
 GET /purchases 200 in 446ms (compile: 48ms, proxy.ts: 349ms, render: 50ms)
 PATCH /api/products/1370 200 in 669ms (compile: 61ms, proxy.ts: 93ms, render: 515ms)
 GET /purchases 200 in 144ms (compile: 78ms, proxy.ts: 41ms, render: 24ms)
 GET /purchases 200 in 52ms (compile: 17ms, proxy.ts: 14ms, render: 21ms)
 PATCH /api/products/3298 200 in 568ms (compile: 15ms, proxy.ts: 26ms, render: 526ms)
 GET /purchases 200 in 131ms (compile: 58ms, proxy.ts: 47ms, render: 26ms)
 GET /purchases 200 in 456ms (compile: 42ms, proxy.ts: 344ms, render: 70ms)
 PATCH /api/products/3407 200 in 672ms (compile: 79ms, proxy.ts: 48ms, render: 546ms)
 GET /purchases 200 in 157ms (compile: 56ms, proxy.ts: 53ms, render: 48ms)
 PATCH /api/products/3406 200 in 714ms (compile: 81ms, proxy.ts: 54ms, render: 579ms)
 GET /purchases 200 in 154ms (compile: 53ms, proxy.ts: 68ms, render: 33ms)
 GET /purchases 200 in 469ms (compile: 44ms, proxy.ts: 343ms, render: 83ms)
 GET /purchases 200 in 542ms (compile: 108ms, proxy.ts: 368ms, render: 66ms)
 PATCH /api/products/3408 200 in 747ms (compile: 68ms, proxy.ts: 66ms, render: 613ms)
 GET /purchases 200 in 153ms (compile: 8ms, proxy.ts: 114ms, render: 31ms)
 GET /purchases 200 in 57ms (compile: 4ms, proxy.ts: 18ms, render: 36ms)
 PATCH /api/products/3321 200 in 655ms (compile: 28ms, proxy.ts: 21ms, render: 606ms)
 GET /purchases 200 in 603ms (compile: 101ms, proxy.ts: 353ms, render: 149ms)
 GET /purchases 200 in 453ms (compile: 360ms, proxy.ts: 41ms, render: 52ms)
 PATCH /api/products/3396 200 in 1218ms (compile: 55ms, proxy.ts: 188ms, render: 975ms)
 GET /purchases 200 in 163ms (compile: 56ms, proxy.ts: 56ms, render: 51ms)
 GET /purchases 200 in 523ms (compile: 40ms, proxy.ts: 410ms, render: 73ms)
 PATCH /api/products/3409 200 in 1031ms (compile: 76ms, proxy.ts: 57ms, render: 899ms)
 GET /purchases 200 in 459ms (compile: 43ms, proxy.ts: 334ms, render: 81ms)
 GET /purchases 200 in 444ms (compile: 342ms, proxy.ts: 35ms, render: 66ms)
 PATCH /api/products/3410 200 in 629ms (compile: 58ms, proxy.ts: 69ms, render: 501ms)
 GET /api/suppliers 200 in 488ms (compile: 18ms, proxy.ts: 336ms, render: 134ms)
 GET /api/products/aliases 200 in 493ms (compile: 27ms, proxy.ts: 336ms, render: 130ms)
 GET /api/purchases 200 in 496ms (compile: 31ms, proxy.ts: 337ms, render: 128ms)
 GET /purchases 200 in 574ms (compile: 175ms, proxy.ts: 335ms, render: 64ms)
 GET /api/suppliers 200 in 37ms (compile: 11ms, proxy.ts: 15ms, render: 11ms)
 GET /api/purchases 200 in 40ms (compile: 16ms, proxy.ts: 15ms, render: 9ms)
 GET /api/products 200 in 952ms (compile: 24ms, proxy.ts: 336ms, render: 592ms)
 GET /api/products 200 in 290ms (compile: 32ms, proxy.ts: 53ms, render: 205ms)
 GET /purchases 200 in 28ms (compile: 3ms, proxy.ts: 5ms, render: 19ms)
 GET /purchases 200 in 25ms (compile: 4ms, proxy.ts: 7ms, render: 15ms)
 GET /api/auth/session 200 in 31ms (compile: 11ms, proxy.ts: 7ms, render: 14ms)
 GET /api/auth/session 200 in 55ms (compile: 20ms, proxy.ts: 8ms, render: 28ms)
 GET /api/auth/session 200 in 63ms (compile: 15ms, proxy.ts: 10ms, render: 39ms)
 POST /api/ocr/process-invoice 200 in 17.6s (compile: 2ms, proxy.ts: 8ms, render: 17.6s)
 GET /api/auth/session 200 in 37ms (compile: 13ms, proxy.ts: 7ms, render: 17ms)
 POST /api/products 200 in 570ms (compile: 2ms, proxy.ts: 5ms, render: 563ms)
